//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-11-2015
//--  Time: 15:40
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 20(C), 	Resistance 1: 2500 Ohms 
//--    Temperature2: 50(C), 	Resistance 2: 800 Ohms 
//--    Temperature3: 90(C), 	Resistance 3: 230 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
204	135.47	1355 	0.996
205	135.14	1351 	1.001
206	134.81	1348 	1.006
207	134.48	1345 	1.011
208	134.16	1342 	1.016
209	133.83	1338 	1.021
210	133.51	1335 	1.025
211	133.19	1332 	1.030
212	132.87	1329 	1.035
213	132.55	1326 	1.040
214	132.24	1322 	1.045
215	131.92	1319 	1.050
216	131.61	1316 	1.055
217	131.29	1313 	1.060
218	130.98	1310 	1.064
219	130.67	1307 	1.069
220	130.36	1304 	1.074
221	130.06	1301 	1.079
222	129.75	1298 	1.084
223	129.45	1294 	1.089
224	129.14	1291 	1.094
225	128.84	1288 	1.099
226	128.54	1285 	1.104
227	128.24	1282 	1.108
228	127.94	1279 	1.113
229	127.64	1276 	1.118
230	127.35	1273 	1.123
231	127.05	1271 	1.128
232	126.76	1268 	1.133
233	126.47	1265 	1.138
234	126.17	1262 	1.143
235	125.88	1259 	1.147
236	125.59	1256 	1.152
237	125.31	1253 	1.157
238	125.02	1250 	1.162
239	124.73	1247 	1.167
240	124.45	1244 	1.172
241	124.16	1242 	1.177
242	123.88	1239 	1.182
243	123.60	1236 	1.187
244	123.32	1233 	1.191
245	123.04	1230 	1.196
246	122.76	1228 	1.201
247	122.48	1225 	1.206
248	122.21	1222 	1.211
249	121.93	1219 	1.216
250	121.66	1217 	1.221
251	121.38	1214 	1.226
252	121.11	1211 	1.230
253	120.84	1208 	1.235
254	120.57	1206 	1.240
255	120.30	1203 	1.245
256	120.03	1200 	1.250
257	119.76	1198 	1.255
258	119.50	1195 	1.260
259	119.23	1192 	1.265
260	118.97	1190 	1.270
261	118.70	1187 	1.274
262	118.44	1184 	1.279
263	118.18	1182 	1.284
264	117.91	1179 	1.289
265	117.65	1177 	1.294
266	117.39	1174 	1.299
267	117.13	1171 	1.304
268	116.88	1169 	1.309
269	116.62	1166 	1.313
270	116.36	1164 	1.318
271	116.11	1161 	1.323
272	115.85	1159 	1.328
273	115.60	1156 	1.333
274	115.34	1153 	1.338
275	115.09	1151 	1.343
276	114.84	1148 	1.348
277	114.59	1146 	1.353
278	114.34	1143 	1.357
279	114.09	1141 	1.362
280	113.84	1138 	1.367
281	113.59	1136 	1.372
282	113.35	1133 	1.377
283	113.10	1131 	1.382
284	112.85	1129 	1.387
285	112.61	1126 	1.392
286	112.37	1124 	1.396
287	112.12	1121 	1.401
288	111.88	1119 	1.406
289	111.64	1116 	1.411
290	111.40	1114 	1.416
291	111.16	1112 	1.421
292	110.92	1109 	1.426
293	110.68	1107 	1.431
294	110.44	1104 	1.436
295	110.20	1102 	1.440
296	109.96	1100 	1.445
297	109.72	1097 	1.450
298	109.49	1095 	1.455
299	109.25	1093 	1.460
300	109.02	1090 	1.465
301	108.78	1088 	1.470
302	108.55	1086 	1.475
303	108.32	1083 	1.479
304	108.09	1081 	1.484
305	107.85	1079 	1.489
306	107.62	1076 	1.494
307	107.39	1074 	1.499
308	107.16	1072 	1.504
309	106.93	1069 	1.509
310	106.71	1067 	1.514
311	106.48	1065 	1.519
312	106.25	1062 	1.523
313	106.02	1060 	1.528
314	105.80	1058 	1.533
315	105.57	1056 	1.538
316	105.35	1053 	1.543
317	105.12	1051 	1.548
318	104.90	1049 	1.553
319	104.67	1047 	1.558
320	104.45	1045 	1.563
321	104.23	1042 	1.567
322	104.01	1040 	1.572
323	103.78	1038 	1.577
324	103.56	1036 	1.582
325	103.34	1033 	1.587
326	103.12	1031 	1.592
327	102.90	1029 	1.597
328	102.69	1027 	1.602
329	102.47	1025 	1.606
330	102.25	1022 	1.611
331	102.03	1020 	1.616
332	101.82	1018 	1.621
333	101.60	1016 	1.626
334	101.38	1014 	1.631
335	101.17	1012 	1.636
336	100.95	1010 	1.641
337	100.74	1007 	1.646
