#Firmware: MS2/Extra release 3.3.1  20131206 18:45GMT(c)KC/JSM/JB   MS2
TriggerTime,Time
ms,ms
24.62064,5738.7207
24.55662,5763.2773
24.5652,5787.843
24.51702,5812.36
24.4728,5836.8325
24.40944,5861.242
24.44838,5885.6904
24.59754,5910.288
24.47808,5934.766
24.70776,5959.4736
24.82722,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
0.0,5984.301
